initialRegeneration,time,"If(Ko+Detected>0 || Rej>0,1,0)"
Ok Clock @ error|0 w|0,472,3.663982556
Ok Clock @ error|0 w|0,473,3.668152135
Ok Clock @ error|0 w|0,474,3.678975035
Ok Clock @ error|0 w|0,475,3.690941701
Ok Clock @ error|0 w|0,476,3.698221745
Ok Clock @ error|0 w|0,477,3.701076507
Ok Clock @ error|0 w|0,478,3.702026186
Ok Clock @ error|0 w|0,479,3.702504006
Ok Clock @ error|0 w|0,480,3.702911597
Ok Clock @ error|0 w|0,481,3.703314293
Ok Clock @ error|0 w|0,482,3.703719034
Ok Clock @ error|0 w|0,483,3.704126940
Ok Clock @ error|0 w|0,484,3.704538758
Ok Clock @ error|0 w|0,485,3.704955189
Ok Clock @ error|0 w|0,486,3.705376886
Ok Clock @ error|0 w|0,487,3.705804439
Ok Clock @ error|0 w|0,488,3.706238369
Ok Clock @ error|0 w|0,489,3.706679131
Ok Clock @ error|0 w|0,490,3.707127114
Ok Clock @ error|0 w|0,491,3.707582651
Ok Clock @ error|0 w|0,492,3.708046023
Ok Clock @ error|0 w|0,493,3.708517472
Ok Clock @ error|0 w|0,494,3.710078780
Ok Clock @ error|0 w|0,495,3.713988959
Ok Clock @ error|0 w|0,496,3.719029223
Ok Clock @ error|0 w|0,497,3.722930632
Ok Clock @ error|0 w|0,498,3.742216624
Ok Clock @ error|0 w|0,499,3.784707441
Ok Clock @ error|0 w|0,500,3.822937084
Ok Clock @ error|0 w|0,501,3.840560602
Ok Clock @ error|0 w|0,502,3.845512052
Ok Clock @ error|0 w|0,503,3.846752842
Ok Clock @ error|0 w|0,504,3.847350159
Ok Clock @ error|0 w|0,505,3.847862664
Ok Clock @ error|0 w|0,506,3.848362590
Ok Clock @ error|0 w|0,507,3.848859901
Ok Clock @ error|0 w|0,508,3.849357090
Ok Clock @ error|0 w|0,509,3.849855896
Ok Clock @ error|0 w|0,510,3.850357924
Ok Clock @ error|0 w|0,511,3.850864603
Ok Clock @ error|0 w|0,512,3.851377157
Ok Clock @ error|0 w|0,513,3.851896596
Ok Clock @ error|0 w|0,514,3.852423734
Ok Clock @ error|0 w|0,515,3.852959211
Ok Clock @ error|0 w|0,516,3.853503521
Ok Clock @ error|0 w|0,517,3.854057037
Ok Clock @ error|0 w|0,518,3.854620045
Ok Clock @ error|0 w|0,519,3.858776321
Ok Clock @ error|0 w|0,520,3.869306065
Ok Clock @ error|0 w|0,521,3.922103052
Ok Clock @ error|0 w|0,522,4.021376837
Ok Clock @ error|0 w|0,523,4.098716308
Ok Clock @ error|0 w|0,524,4.133240683
Ok Clock @ error|0 w|0,525,4.148920273
Ok Clock @ error|0 w|0,526,4.156477215
Ok Clock @ error|0 w|0,527,4.159397739
Ok Clock @ error|0 w|0,528,4.160451880
Ok Clock @ error|0 w|0,529,4.161047531
Ok Clock @ error|0 w|0,530,4.161569469
Ok Clock @ error|0 w|0,531,4.169106963
Ok Clock @ error|0 w|0,532,4.189165915
Ok Clock @ error|0 w|0,533,4.211492708
Ok Clock @ error|0 w|0,534,4.225098206
Ok Clock @ error|0 w|0,535,4.230353115
Ok Clock @ error|0 w|0,536,4.231947540
Ok Clock @ error|0 w|0,537,4.232601171
Ok Clock @ error|0 w|0,538,4.233099799
Ok Clock @ error|0 w|0,539,4.233579868
Ok Clock @ error|0 w|0,540,4.234057864
Ok Clock @ error|0 w|0,541,4.234536328
Ok Clock @ error|0 w|0,542,4.235016568
Ok Clock @ error|0 w|0,543,4.235499735
Ok Clock @ error|0 w|0,544,4.235986879
Ok Clock @ error|0 w|0,545,4.236478931
Ok Clock @ error|0 w|0,546,4.236976690
Ok Clock @ error|0 w|0,547,4.237480834
Ok Clock @ error|0 w|0,548,4.237991925
Ok Clock @ error|0 w|0,549,4.238510418
Ok Clock @ error|0 w|0,550,4.239036680
Ok Clock @ error|0 w|0,551,4.239571004
Ok Clock @ error|0 w|0,552,4.240781232
Ok Clock @ error|0 w|0,553,4.243444589
Ok Clock @ error|0 w|0,554,4.246808871
Ok Clock @ error|0 w|0,555,4.249473667
Ok Clock @ error|0 w|0,556,4.253069098
Ok Clock @ error|0 w|0,557,4.260382376
Ok Clock @ error|0 w|0,558,4.278631947
Ok Clock @ error|0 w|0,559,4.309045014
Ok Clock @ error|0 w|0,560,4.335808281
Ok Clock @ error|0 w|0,561,4.348965879
Ok Clock @ error|0 w|0,562,4.353122361
Ok Clock @ error|0 w|0,563,4.354343979
Ok Clock @ error|0 w|0,564,4.355011647
Ok Clock @ error|0 w|0,565,4.355615016
Ok Clock @ error|0 w|0,566,4.356213542
Ok Clock @ error|0 w|0,567,4.356812450
Ok Clock @ error|0 w|0,568,4.365384150
Ok Clock @ error|0 w|0,569,4.385442372
Ok Clock @ error|0 w|0,570,4.404051127
Ok Clock @ error|0 w|0,571,4.413197472
